,rooms_count,ceiling_height_m,price_rub,floors,bathroom_combined,bathroom_separate,balcony,loggia,near_metro,parking_encoded,type_house_encoded,renovation_Дизайнерский,renovation_Евроремонт,renovation_Косметический,windows_На улицу,windows_На улицу и двор,garbage_chute_Нет,district_encoded,children_allowed_Нет,pets_allowed_Нет,premium_apartment,area_m2,metro_distance_min,cargo_elevator,passenger_elevator
0,4,3.0,500000,16,0,0,0,0,1,4,4,True,False,False,False,False,False,6,False,False,0,2.9184372516162274,-0.0348519805720212,1.059760520704627,3.0330341384964297
1,4,3.5,500000,16,2,1,0,0,1,4,3,True,False,False,False,True,True,6,False,True,0,2.8757173358504944,-0.19291544474754238,1.059760520704627,-0.24257633244856977
2,4,3.2,500000,16,3,0,0,0,1,4,5,False,True,False,False,True,True,6,False,True,0,2.9184372516162274,-0.35097890892306355,-0.5819614415393992,-0.24257633244856977
3,4,3.2,400000,6,3,0,0,0,1,4,5,False,True,False,False,True,True,6,True,False,0,2.2776385151302345,-0.9832327656251482,-0.5819614415393992,-0.24257633244856977
4,2,3.9,225000,26,2,0,0,0,1,2,5,False,True,False,False,True,False,6,True,True,0,-0.11467676775080494,-0.35097890892306355,1.059760520704627,-0.24257633244856977
5,3,2.99,470000,7,0,0,0,0,1,2,5,True,False,False,False,False,True,6,True,True,0,0.6115618002666535,-0.6671058372741059,-0.5819614415393992,-1.3344464894302364
6,5,3.2,350000,5,2,0,0,0,1,1,5,False,True,False,False,True,True,6,False,False,0,3.196116704093491,-0.8251693014496271,-0.5819614415393992,-0.24257633244856977
7,3,3.2,250000,4,1,1,0,0,1,4,4,False,True,False,False,False,True,6,False,False,0,0.739721547563852,-0.9832327656251482,-0.5819614415393992,-0.24257633244856977
8,3,3.0,130000,10,1,0,0,0,1,2,6,False,True,False,True,False,True,6,True,False,0,1.2096406209869133,-0.0348519805720212,-0.5819614415393992,-0.24257633244856977
9,4,3.1,210000,7,1,1,1,0,0,2,6,False,True,False,False,True,False,6,False,True,0,0.5688418845009207,0.12321148360349997,-0.5819614415393992,-0.24257633244856977
10,4,3.2,290000,7,3,0,0,0,1,4,5,False,True,False,False,True,True,6,False,True,0,2.2776385151302345,-0.6671058372741059,-0.5819614415393992,-0.24257633244856977
11,3,2.99,100000,8,1,0,3,0,1,2,2,False,True,False,False,True,True,6,True,True,0,0.3552423056722564,-1.1412962298006695,-0.5819614415393992,-0.24257633244856977
12,3,2.99,200000,4,2,0,0,0,1,2,2,True,False,False,False,False,True,6,False,False,0,0.7824414633295849,-0.19291544474754238,-0.5819614415393992,-0.24257633244856977
13,5,2.99,500000,8,2,1,0,1,1,2,4,True,False,False,True,False,True,6,False,False,0,2.491238093958899,-0.0348519805720212,-0.5819614415393992,1.9411639815147632
14,5,2.99,450000,9,2,0,1,0,1,4,4,False,True,False,False,False,True,6,True,True,0,3.3883563250392887,-0.6671058372741059,-0.5819614415393992,-0.24257633244856977
15,5,2.99,450000,9,0,0,0,0,1,2,4,True,False,False,False,False,False,6,True,True,0,3.452436198687888,-0.5090423730985847,-0.5819614415393992,3.0330341384964297
16,2,2.99,120000,26,1,0,0,0,0,2,5,False,True,False,True,False,True,6,False,False,0,-0.7127555884710648,0.12321148360349997,-0.5819614415393992,-1.3344464894302364
17,5,2.99,450000,9,0,0,1,0,1,2,5,True,False,False,False,False,True,6,False,False,0,3.3883563250392887,-0.6671058372741059,-0.5819614415393992,-1.3344464894302364
18,5,2.99,180000,7,2,0,1,0,0,1,2,False,True,False,False,False,True,6,True,True,0,1.850439357472906,0.4393384119545423,-0.5819614415393992,-0.24257633244856977
19,5,3.2,190000,3,3,0,0,0,1,2,5,False,True,False,False,True,True,6,False,False,0,2.9397972094990936,-0.5090423730985847,-0.5819614415393992,-0.24257633244856977
20,2,2.99,205000,26,2,0,0,0,1,2,5,False,True,False,True,False,True,6,False,False,0,0.013482979546393605,-0.0348519805720212,-0.5819614415393992,-1.3344464894302364
21,3,3.2,230000,7,2,0,1,0,1,4,5,False,True,False,False,True,True,6,False,True,0,1.038760957923982,-0.6671058372741059,-0.5819614415393992,-0.24257633244856977
22,4,2.99,590000,5,0,0,0,0,1,2,5,True,False,False,False,False,True,6,True,True,1,2.7048376727875634,-0.6671058372741059,-0.5819614415393992,-1.3344464894302364
23,5,2.99,850000,9,2,1,0,0,1,2,4,False,True,False,False,False,True,6,False,False,1,4.09323493517388,-0.19291544474754238,-0.5819614415393992,-1.3344464894302364
24,5,3.3,190000,3,2,0,0,0,1,2,8,False,True,False,False,True,False,6,False,False,0,2.6193978412560974,-0.6671058372741059,-0.5819614415393992,-1.3344464894302364
25,3,3.2,200000,8,2,0,0,0,1,1,5,False,True,False,False,True,True,6,False,False,0,0.7824414633295849,-0.6671058372741059,-0.5819614415393992,-0.24257633244856977
26,5,2.99,200000,7,2,0,1,0,0,2,5,False,True,False,False,False,True,6,True,True,0,1.850439357472906,0.2812749477790211,-0.5819614415393992,-0.24257633244856977
